company,date_posted,description,location,source,title,url
OLIGO -,24/01/2026,Nous recrutons des vendeuses . Intéressées ?  contactez-nous ou passez directement à la boutique ALBI (en face BH bank ) .,"Gabès, Gabès, Tunisie",tanitjobs,Vendeuse Boutique de vêtement,https://www.tanitjobs.com/job/1977247/vendeuse-boutique-de-v%C3%AAtement/?backPage=1&searchID=1769354897.9485
HAKIM GROUP -,24/01/2026,"Dans le cadre de notre développement, SOTECA ELECTRIQUE recherches  2   Techniciens de chantier spécialité électricité de Bâtiment . Missions :  Installer, maintenir et...","Sfax, Sfax, Tunisie",tanitjobs,Technicien de chantier en électricité de Bâtiment.,https://www.tanitjobs.com/job/1977258/technicien-de-chantier-en-%C3%A9lectricit%C3%A9-de-b%C3%A2timent/?backPage=1&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"Smart Conseil  est un éditeur de logiciels, nous offrons à nos clients des solutions dans le domaine de l'intelligence artificielle et la data science ainsi qu'une expertise pour accompagner leur...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,Agent de gestion administratif (AGA2025),https://www.tanitjobs.com/job/1977356/agent-de-gestion-administratif-aga2025/?backPage=1&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"Smart Conseil , cabinet de conseil en informatique spécialisé en  intelligence artificielle ,  Big Data  et  technologies émergentes , connaît une croissance soutenue de son activité de ...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,Chargé d'admission (CFSM001),https://www.tanitjobs.com/job/1977355/charg%C3%A9-d-admission-cfsm001/?backPage=2&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"Smart Conseil  est un éditeur de logiciels, nous offrons à nos clients des solutions dans le domaine de l'intelligence artificielle et la data science ainsi qu'une expertise pour accompagner leur processus de...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,Coordinateur d'équipe (CE10954),https://www.tanitjobs.com/job/1977342/coordinateur-d-%C3%A9quipe-ce10954/?backPage=2&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"Dans le cadre de son projet de formation (école supérieure qui assure des formations certifiantes en ligne) Smart Conseil recrute un(e) Formateur spécialisé(e) en Informatique, Data Science, Intelligence...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,Formateur en Informatique : spécialité Data (FID0111),https://www.tanitjobs.com/job/1977340/formateur-en-informatique-sp%C3%A9cialit%C3%A9-data-fid0111/?backPage=2&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"En tant que commercial logiciel IA, votre rôle principal sera de promouvoir et de vendre des solutions logicielles basées sur l'intelligence artificielle en Tunisie, à nos clients potentiels. Vous serez responsable de la...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,Stage pré embauche Commercial Logiciels IA (SPECLIA01),https://www.tanitjobs.com/job/1977345/stage-pr%C3%A9-embauche-commercial-logiciels-ia-speclia01/?backPage=2&searchID=1769354897.9485
FD Ingénierie & Conseils -,24/01/2026,"Notre bureau d’études, actif sur le marché français, cherche un projeteur en génie civil (débutant – éligible SIVP) Missions principales : Réaliser les plans de coffrage...","La Soukra, Ariana, Tunisie",tanitjobs,Projeteur / dessinateur en génie civil,https://www.tanitjobs.com/job/1968452/projeteur-dessinateur-en-g%C3%A9nie-civil/?backPage=2&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"Dans le cadre de son projet de formation (école supérieure qui assure des formations certifiantes en ligne) Smart Conseil recrute un(e) Docteur Formateur spécialisé(e) en Informatique, Data Science, Intelligence...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,Docteur Enseignant en Informatique (DEI0111),https://www.tanitjobs.com/job/1977339/docteur-enseignant-en-informatique-dei0111/?backPage=2&searchID=1769354897.9485
Smart Conseil -,24/01/2026,"mart Conseil est un éditeur de logiciels spécialisé dans l'intelligence artificielle et le Big Data. Nous proposons des solutions en maintenance prédictive, connaissance client et modèles prédictifs...","Cité El Ghazala, Ariana, Tunisie",tanitjobs,Chef Projet Technique (CPT04),https://www.tanitjobs.com/job/1977338/chef-projet-technique-cpt04/?backPage=2&searchID=1769354897.9485
