company,date_posted,description,location,source,title,url
Telesupport Global -,29/01/2026,About the Role We are looking for a  Lead Generation & Meeting Setter Specialist  to support the market expansion of a UK-based technology provider into the Gulf region. Your primary mission will be to generate  qualified...,"Tunis, Tunis, Tunisie",tanitjobs,Lead Generation & Meeting Setter – Cloud & Data Solutions (Gulf Region),https://www.tanitjobs.com/job/1978543/lead-generation-meeting-setter-cloud-data-solutions-gulf-region/?backPage=2&searchID=1769677804.9771
asala fashion -,28/01/2026,"- Dans le cadre de notre développement, Asala Fashion recherche un(e) Chargé(e) Marketing Digital passionné(e) par la mode et le digital. -Missions principales : Gestion des réseaux sociaux...",monastir ksar hellal,tanitjobs,Post recrutement Marketing Digital,https://www.tanitjobs.com/job/1978506/post-recrutement-marketing-digital/?backPage=2&searchID=1769677804.9771
NEXTECH MEDICAL -,28/01/2026,"Le poste est polyvalent, à l’interface entre les clients et les équipes internes, avec un rôle clé dans le suivi commercial et la qualité de service.  Missions principales Relation client...","Nasria Sfax, Sfax, Tunisie",tanitjobs,Chargé(e) de Relation Client & Support Commercial,https://www.tanitjobs.com/job/1978495/charg%C3%A9-e-de-relation-client-support-commercial/?backPage=2&searchID=1769677804.9771
INSTITUT PASCAL -,28/01/2026,"Nous recrutons un(e) Chargé(e) Marketing Digital & Commercial pour développer notre visibilité en ligne, renforcer nos ventes et contribuer au développement des projets clients. Gestion des pages Facebook,...","EL Menzah 5, Tunis, Tunisie",tanitjobs,Chargé(e) marketing digital - Community Manager & Commercial,https://www.tanitjobs.com/job/1978497/charg%C3%A9-e-marketing-digital-community-manager-commercial/?backPage=2&searchID=1769677804.9771
NEXTECH MEDICAL -,28/01/2026,"Présentation de l’entreprise NEXTECH MEDICAL est une société spécialisée dans la distribution de dispositifs médicaux, intervenant auprès d’établissements publics et...","Nasria Sfax, Sfax, Tunisie",tanitjobs,Chargé(e) des Appels d’Offres (Dispositifs Médicaux),https://www.tanitjobs.com/job/1978499/charg%C3%A9-e-des-appels-d-offres-dispositifs-m%C3%A9dicaux/?backPage=2&searchID=1769677804.9771
Desert Joy -,28/01/2026,"Desert Joy is looking for a dedicated and proactive Storekeeper Assistant to join our growing team. In this vital role you will be ensuring materials, tools, and products flow efficiently and you will take responsibility for accurate inventory...","El Hamma, Gabès, Tunisie",tanitjobs,Storekeeper Assistant,https://www.tanitjobs.com/job/1978483/storekeeper-assistant/?backPage=2&searchID=1769677804.9771
Académie dhoulmajez -,28/01/2026,القيام بالأعمال الإدارية اليومية : مراسلات، أرشفة، تنظيم الملفات.. التنسيق بين مختلف الأقسام. استعمال البرامج المكتبية والتقنيات الإدارية الحديثة. تنفيذ مهام إدارية أخرى تُسند إليها من قبل الإدارة.,"Ariana, Ariana, Tunisie",tanitjobs,انتداب إدارية,https://www.tanitjobs.com/job/1978482/%D8%A7%D9%86%D8%AA%D8%AF%D8%A7%D8%A8-%D8%A5%D8%AF%D8%A7%D8%B1%D9%8A%D8%A9/?backPage=2&searchID=1769677804.9771
AUDITEUR -,28/01/2026,auditrice : comptable avec  expérience,"Sousse, Sousse, Tunisie",tanitjobs,"auditrice , comptable experimenté",https://www.tanitjobs.com/job/1978475/auditrice-comptable-experiment%C3%A9/?backPage=3&searchID=1769677804.9771
Elokencia -,28/01/2026,"Qui sommes-nous ? Elokencia est une plateforme SaaS d’intelligence artificielle qui transforme les réunions en leviers de performance. Nous aidons les équipes à capturer décisions, tâches et...","Ain Zaghouan, Tunis, Tunisie",tanitjobs,Chargé(e) de Développement Commercial / Business Developer (Français courant indispensable),https://www.tanitjobs.com/job/1978470/charg%C3%A9-e-de-d%C3%A9veloppement-commercial-business-developer-fran%C3%A7ais-courant-indispensable/?backPage=3&searchID=1769677804.9771
Elokencia -,28/01/2026,"Qui sommes-nous ? Elokencia est une plateforme SaaS d’intelligence artificielle qui transforme les réunions en leviers de performance. Nous aidons les équipes à capturer décisions, tâches et...","Ain Zaghouan, Tunis, Tunisie",tanitjobs,Business Developer/ Chargé(e) de Développement Commercial– SaaS B2B (Français excellent requis),https://www.tanitjobs.com/job/1978466/business-developer-charg%C3%A9-e-de-d%C3%A9veloppement-commercial-saas-b2b-fran%C3%A7ais-excellent-requis/?backPage=3&searchID=1769677804.9771
cabinet maître takrouni mohamed jasser avocat auprès de la cour d’appel -,28/01/2026,الرجاء قراءة هذه التوجيهات جيدا  عملا بأحكام الفصل 94-2 وما بعدهُ من مجلة الشغل فإن عرض الشغل هذا مفتوح للشباب (رجال أو نساء) أقل من 25 سنة وليس له تجربة عمل سابقة في سوق الشغل بتاتا، شريطة أن يكون نقي السوابق العدلية مطلقا...,"Sidi Rzig Megrine, Ben Arous, Tunisie",tanitjobs,مساعد (ة) كاتبة,https://www.tanitjobs.com/job/1978458/%D9%85%D8%B3%D8%A7%D8%B9%D8%AF-%D8%A9-%D9%83%D8%A7%D8%AA%D8%A8%D8%A9/?backPage=3&searchID=1769677804.9771
excel pro -,28/01/2026,"Dans le cadre de notre développement, nous recrutons un(e) Responsable de la confirmation des rendez-vous en mutuelle santé . Profil recherché : Expérience en centre d’appels ou mutuelle...","Tunis, Tunis, Tunisie",tanitjobs,Responsable de la confirmation des rendez-vous – Mutuelle Santé,https://www.tanitjobs.com/job/1969614/responsable-de-la-confirmation-des-rendez-vous-mutuelle-sant%C3%A9/?backPage=3&searchID=1769677804.9771
sarcartage -,28/01/2026,"Nous sommes un bureau d'étude spécialisé dans les énergies renouvelables, basé à Tunis. Dans le cadre de notre développement, nous recherchons des  confirmateur(trices) de projets...","Tunis, Tunis, Tunisie",tanitjobs,Confirmateur(trice) de projets en énergies renouvelables,https://www.tanitjobs.com/job/1969601/confirmateur-trice-de-projets-en-%C3%A9nergies-renouvelables/?backPage=3&searchID=1769677804.9771
Taskwise -,28/01/2026,"We are looking for a creative who can instantly read, understand, and elevate a brand’s visual identity.If you’re someone with strong technical skills, a refined eye for minimal and premium aesthetics, and the ability to take a brand...","El Aouina, Tunis, Tunisie",tanitjobs,Art Director (Senior Graphic Designer),https://www.tanitjobs.com/job/1978453/art-director-senior-graphic-designer/?backPage=3&searchID=1769677804.9771
Taskwise -,28/01/2026,"À propos de nous : Nous sommes une société offshore tunisienne opérant pour le compte d’un laboratoire canadien spécialisé dans les cosmétiques biologiques. Structure dynamique,...","El Aouina, Ariana, Tunisie",tanitjobs,Comptable,https://www.tanitjobs.com/job/1978452/comptable/?backPage=3&searchID=1769677804.9771
AWR TECHNICAL ASSISTANCE -,28/01/2026,"Description de l ’emploi : Dans le cadre du renforcement de ses capacités en matière de gestion de l’information documentaire et archivistique, AWR Technical Assistance souhaite recruter un consultant...","Ariana, Ariana, Tunisie",tanitjobs,"Consultant en documentation, bibliothéconomie et archivistiques",https://www.tanitjobs.com/job/1978450/consultant-en-documentation-biblioth%C3%A9conomie-et-archivistiques/?backPage=3&searchID=1769677804.9771
PURE BEAUTY LABS -,28/01/2026,"on recrute un  Responsable Appel d’Offres  qui sera le support d’une cellule appel d’offres, ou d’un service commercial. Il prendra en charge tous les aspects administratifs liés à la...","La Charguia 2, Tunis, Tunisie",tanitjobs,Responsable Appel d’Offres,https://www.tanitjobs.com/job/1781816/responsable-appel-d-offres/?backPage=3&searchID=1769677804.9771
kaizen -,28/01/2026,PME recrute de suite assistante commerciale pour le suivi et la gestion quotidienne du portefeuille clients,"Tunis, Tunis, Tunisie",tanitjobs,Assistante commerciale,https://www.tanitjobs.com/job/1978436/assistante-commerciale/?backPage=3&searchID=1769677804.9771
Tessi Technology Tunis -,28/01/2026,"Vous cherchez un nouveau challenge avec des perspectives de carrière, de la convivialité dans vos relations de travail et la liberté d’entreprendre au sein d’équipes impliquées ? Tessi est...","La Chargui 1, Tunis, Tunisie",tanitjobs,TECH LEAD Expérimenté PHP,https://www.tanitjobs.com/job/1863562/tech-lead-exp%C3%A9riment%C3%A9-php/?backPage=3&searchID=1769677804.9771
,28/01/2026,"Notre client, un groupe international basé en Algérie opérant dans le secteur agroalimentaire, recherche  un Finance Manager  pour rejoindre la direction financière de l’une de ses entités...",Algérie.,tanitjobs,Finance Manager,https://www.tanitjobs.com/job/1978421/finance-manager/?backPage=3&searchID=1769677804.9771
CAEI -,28/01/2026,"Dans le cadre du développement de nos activités, nous recrutons des  Téléconseiller(ère)s  spécialisés dans la  prise de rendez-vous pour des audits énergétiques ....","Tunis, Tunis, Tunisie",tanitjobs,Recrutement – Téléconseiller(ère) Prise de RDV (Audit Énergétique),https://www.tanitjobs.com/job/1978432/recrutement-t%C3%A9l%C3%A9conseiller-%C3%A8re-prise-de-rdv-audit-%C3%A9nerg%C3%A9tique/?backPage=3&searchID=1769677804.9771
,28/01/2026,"Notre client,   un acteur international reconnu dans le secteur industriel, souhaite renforcer ses équipes en recrutant  Un(e) Contrôleur(se) Qualité . (Poste basé à la banlieue sud)....",La banlieue sud de Tunis.,tanitjobs,Un(e) Contrôleur(se) Qualité.,https://www.tanitjobs.com/job/1978425/un-e-contr%C3%B4leur-se-qualit%C3%A9/?backPage=3&searchID=1769677804.9771
,28/01/2026,"Notre client, un groupe international Algérien opérant principalement dans le secteur agroalimentaire, recherche   un(e) Group IT Director   pour piloter la transformation technologique de ses systèmes...",Algérie.,tanitjobs,Group IT Director,https://www.tanitjobs.com/job/1978422/group-it-director/?backPage=3&searchID=1769677804.9771
Ste.pole vision -,28/01/2026,"Dans le cadre de son développement , la société Pôle Vision, spécialiste reconnu dans le domaine de l’optique, renforce son équipe et recrute un(e) Aide-Opticien(ne) motivé(e) et souriant(e),...","Dar Chabane, Nabeul, Tunisie",tanitjobs,AIDE OPTICIEN,https://www.tanitjobs.com/job/1978433/aide-opticien/?backPage=3&searchID=1769677804.9771
AIM STAFF -,28/01/2026,"Dans le cadre de son développement, AIM Staff recrute un(e) Ingénieur d’Affaires / Commercial IT en télétravail. Votre mission : développer un portefeuille de clients et partenaires et contribuer au...","Tunis, Tunis, Tunisie",tanitjobs,Ingénieure d'affaires IT / Recruteuse IT,https://www.tanitjobs.com/job/1969988/ing%C3%A9nieure-d-affaires-it-recruteuse-it/?backPage=3&searchID=1769677804.9771
,28/01/2026,"Notre client, société industrielle filiale d’un groupe européen de renom, acteur reconnu sur son marché et distingué par son expertise dans les produits artistiques ainsi que par sa culture...","Tunis, Tunis, Tunisie",tanitjobs,Gestionnaire Administratif ADV (Service ADV),https://www.tanitjobs.com/job/1978415/gestionnaire-administratif-adv-service-adv/?backPage=4&searchID=1769677804.9771
,28/01/2026,"Progress RH Tunisie  recherche, pour le compte de son client, une société spécialisée dans la grande distribution , un  Directeur des Ressources Humaines. Missions : Collaborer avec la...","Tunis, Tunis, Tunisie",tanitjobs,Directeur des Ressources Humaines,https://www.tanitjobs.com/job/1978416/directeur-des-ressources-humaines/?backPage=4&searchID=1769677804.9771
PAS CONSULTING TUNISIE -,28/01/2026,"Nous recherchons un(e) comptable qualifiée et expérimentée pour rejoindre notre équipe. Vous serez responsable de la gestion comptable et financière de l’entreprise, en garantissant la conformité...","Centre Urbain Nord, Ariana, Tunisie",tanitjobs,COMPTABLE,https://www.tanitjobs.com/job/1803696/comptable/?backPage=4&searchID=1769677804.9771
,28/01/2026,"(Poste basé à la banlieue sud) Dans le cadre du renforcement de ses équipes, notre client, acteur international reconnu dans son secteur d’activité, est à la recherche d’un   Technicien de...",La banlieue sud de Tunis.,tanitjobs,Technicien de maintenance – profil électrique préféré,https://www.tanitjobs.com/job/1978418/technicien-de-maintenance-profil-%C3%A9lectrique-pr%C3%A9f%C3%A9r%C3%A9/?backPage=4&searchID=1769677804.9771
